,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,Near Street,Location,May involve cyclist,May Involve Pedestrian,Manner of Collision,First Harmful Event Location,First Harmful Event,Ambient Light,Weather Condition 1,Weather Condition 2,Traffic Control Device Type,Traffic Control Device Functionality,Road Surface Condition,Roadway Junction Type,Trafficway Description,School Bus Related,Work Zone,Speed Limit,Street or Intersection,Intersection Name 1,Intersection Direction 1,Intersection Name 2,Intersection Direction 2,Intersection Name 3,Intersection Direction 3,Street Direction,Nearest Intersection Distance,Nearest Intersection Direction,Landmark Distance,Landmark Direction,Landmark,Mile Marker Direction,Non Public Area,Road Contributing,Damaged Property Type,Description of Damaged Property,V1 Registration Type,v1 State Code,V1 Configuration,V1 Emergency Response,V1 Moped,V1 Hit and Run,V1 Action Prior to Crash,V1 Model Year,V1 Most Harmful Event,V1 Model,V1 Make,V1 Occupant Count,V1 Underride Override,V1 First Event,V1 Second Event,V1 Third Event,V1 Fourth Event,V1 Most Damaged Area,V1 Second Damaged Area,V1 Third Damaged Area,V1 Towed,V1 Travel Direction,V1 Interstate,V1 Cargo Body Type,V1 Gross Weight,V1 Haz Placard,V1 Haz Release,V1 Trailer Reg Type,V1 Trailer Reg Plate,V1 Trailer Reg State,V1 Trailer Reg Year,V1 Trailer Len,V1 Driver Contribution,V1 Driver Contribution 2,V1 Is Truck,V1 Has Trailer,V1 Is Bus,V1 Is Hazmat,V1 Reg Year,V1 Driver Distracted,V1 Bus Use,V1 Tow Use,V2 Registration Type,V2 State Code,V2 Configuration,V2 Emergency Response,V2 Moped,V2 Hit and Run,V2 Action Prior to Crash,V2 Model Year,V2 Most Harmful Event,V2 Model,V2 Make,V2 Occupant Count,V2 Underride Override,V2 First Event,V2 Second Event,V2 Third Event,V2 Fourth Event,V2 Most Damaged Area,V2 Second Damaged Area,V2 Third Damaged Area,V2 Towed,V2 Travel Direction,V2 Interstate,V2 Cargo Body Type,V2 Gross Weight,V2 Haz Placard,V2 Haz Release,V2 Trailer Reg Type,V2 Trailer Reg Plate,V2 Trailer Reg State,V2 Trailer Reg Year,V2 Trailer Len,V2 Driver Contribution,V2 Driver Contribution 2,V2 Is Truck,V2 Has Trailer,V2 Is Bus,V2 Is Hazmat,V2 Reg Year,V2 Driver Distracted,V2 Bus Use,V2 Tow Use,P1 Role,P1 Injury,P1 Drivers Lic State,P1 Drivers Lic Class 1,P1 Drivers Lic Class 2,P1 Drivers Lic Restrict,P1 Non Motorist Desc,P1 Non Motorist Action,P1 Non Motorist Location,P1 Safety Equipment,P1 Age,P1 Sex,P1 Seat Position,P1 Safety System,P1 Trapped,P1 Veh Owner,P2 Role,P2 Injury,P2 Drivers Lic State,P2 Drivers Lic Class 1,P2 Drivers Lic Class 2,P2 Drivers Lic Restrict,P2 Non Motorist Desc,P2 Non Motorist Action,P2 Non Motorist Location,P2 Safety Equipment,P2 Age,P2 Sex,P2 Seat Position,P2 Safety System,P2 Trapped,P2 Veh Owner
2973,01/31/2017 01:33:00 PM,Tuesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVE,SIDNEY ST,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,WESTBOUND,SIDNEY ST,SOUTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TRAVELING STRAIGHT AHEAD,2014.0,COLLISION WITH PEDALCYCLE,CRV,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,CENTER FRONT,LEFT FRONT,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,,MASSACHUSETTS,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,IN ROADWAY,NONE USED,,MALE,,,,
2986,10/16/2015 05:08:00 PM,Friday,,,,MASSACHUSETTS AVENUE,,GARFIELD,,1.0,,"SIDESWIPE, OPPOSITE DIRECTION",ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,NO,DRY,,,NO,NO,,NON INTERSECTION,,,,,,,NORTHBOUND,,WESTBOUND,,,,,,,,,PAN,MA,,N,,Y,PARKED,2015.0,,PRIUS,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,,,,,,,,,,,,UNKNOWN,NO IMPROPER DRIVING,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,,,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",NONE USED - VEHICLE OCCUPANT,,Y,NON-MOTORIST,,,,,,,,,,,MALE,,,,
2997,10/30/2015 12:34:00 PM,Friday,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",,,MASS AVE,WINDSOR ST.,,"MASS AVE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,YES,,INTERSECTION,MASS AVE,NORTHBOUND,WINDSOR ST.,NORTHBOUND,,,NORTHBOUND,,,,,,,,UNKNOWN,,,COM,CT,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",N,,,TURNING RIGHT,2009.0,COLLISION WITH PEDALCYCLE,M2106,FRHT,1.0,,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,,,,N,NORTHBOUND,,UNKNOWN,,,,,,,,,UNKNOWN,UNKNOWN,Y,,,,2009.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,CONNECTICUT,,,,,,,,42.0,MALE,UNKNOWN,UNKNOWN,NOT TRAPPED,,NON-MOTORIST,,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,UNKNOWN,23.0,MALE,,,,
3020,12/03/2016 10:05:00 PM,Saturday,PASSENGER CAR,,295,MASSACHUSETTS AVE,,VILLAGE ST,"295 MASSACHUSETTS AVE
Cambridge, MA
(42.362132, -71.09821)",1.0,,"SIDESWIPE, SAME DIRECTION",UNKNOWN,,DARK - LIGHTED ROADWAY,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",,,30,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING RIGHT,2011.0,COLLISION WITH PEDALCYCLE,GL450,MERZ,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,NORTHBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,,,,Y,NON-MOTORIST,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,UNKNOWN,,MALE,,,,
3034,09/21/2015 11:46:00 AM,Monday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,512,MASSACHUSETTS AVE,,BROOKLINE AVE,"512 MASSACHUSETTS AVE
Cambridge, MA
(42.364216, -71.101735)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,30,NON INTERSECTION,,,,,,,EASTBOUND,,,,,PHEONIX LANDING,,,NONE,OTHER,BICYCLE,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,PARKED,2008.0,COLLISION WITH PEDALCYCLE,ODYSSEE,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCCUPANT/PASSENGER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",,,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,NONE USED,,MALE,,,,
3069,11/10/2016 10:16:00 AM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,VASSAR STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,INTERSECTION,MASSACHUSETTS AVENUE,SOUTHBOUND,VASSAR STREET,EASTBOUND,,,,,,,,,,,NONE,,,PAN,CT,PASSENGER CAR,N,,,TURNING RIGHT,2016.0,COLLISION WITH PEDALCYCLE,IMPALA LT,CHEVROLET,3.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,NEW JERSEY,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,OCCUPANT/PASSENGER,NO INJURY,,,,,,,,,,FEMALE,FRONT SEAT - RIGHT SIDE,SHOULDER AND LAP BELT USED,NOT TRAPPED,
3113,11/04/2015 01:15:00 PM,Wednesday,PASSENGER CAR,,1775,MASS AVE,,,"1775 MASS AVE
Cambridge, MA
(42.385701, -71.119249)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PARKED MOTOR VEHICLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",,,,NON INTERSECTION,,,,,,,,,,,,,,,,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2016.0,COLLISION WITH PEDALCYCLE,GOLF,VOLK,0.0,,COLLISION WITH PEDALCYCLE,,,,LEFT REAR,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNINVOLVED OWNER,,,,,,,,,,,FEMALE,,,,Y,NON-MOTORIST,NO INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,UNKNOWN,,FEMALE,,,,
3127,07/13/2016 09:13:00 AM,Wednesday,PASSENGER CAR,OTHER,1960,MASSACHUSETTS AVENUE,,DAVENPORT STREET,"1960 MASSACHUSETTS AVENUE
Cambridge, MA
(42.389856, -71.120549)",1.0,,REAR-END,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,30,NON INTERSECTION,,,,,,,EASTBOUND,50 YARDS,EASTBOUND,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,Y,TRAVELING STRAIGHT AHEAD,,,CIVIC,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,EASTBOUND,,,,,,,,,,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS,",,,,,,,,,NO,,,OTHER,N,,,TRAVELING STRAIGHT AHEAD,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,,TREK 820 MOUNTAIN BIKE,1.0,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,,,,,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,MASSACHUSETTS,,,,CYCLIST,OTHER,IN ROADWAY,HELMET,,MALE,,,,Y,,,,,,,,,,,,,,,,
3181,03/18/2017 01:26:00 PM,Saturday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVE,TEMPLE STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,WESTBOUND,TEMPLE STREET,NORTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING RIGHT,2005.0,COLLISION WITH PEDALCYCLE,ODYSSEY,HONDA,2.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,WESTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,OCCUPANT/PASSENGER,NO INJURY,,,,,,,,,,FEMALE,FRONT SEAT - RIGHT SIDE,UNKNOWN,NOT TRAPPED,
3185,03/31/2015 07:25:00 PM,Tuesday,PASSENGER CAR,,77,MASSACHUSETTS AVE,,,"77 MASSACHUSETTS AVE
Cambridge, MA
(42.358969, -71.093527)",1.0,,ANGLE,ROADWAY,,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,LV,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2008.0,COLLISION WITH PEDALCYCLE,PRIUS,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,NORTHBOUND,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,,,,,,,,,MALE,,,,,NON-MOTORIST,,MASSACHUSETTS,,,,,,,,,MALE,,,,
3197,04/08/2017 02:21:00 PM,Saturday,PASSENGER CAR,,,MASSACHUSETTS AVE,,HANCOCK ST,,1.0,,REAR-END,MEDIAN,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,Y,MAKING U-TURN,,COLLISION WITH PEDALCYCLE,UNKNOWN,UNKNOWN,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT REAR,,,N,SOUTHBOUND,,,,,,,,,,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS,",,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NO INJURY,MASSACHUSETTS,UNKNOWN,,UNKNOWN,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,UNKNOWN,,MALE,,,,,OPERATOR/DRIVER,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,
3240,12/15/2015 06:00:00 PM,Tuesday,,,,GARDEN,MASSACHUSETTS AVENUE,,"GARDEN
Cambridge, MA",1.0,,"SIDESWIPE, OPPOSITE DIRECTION",ROADWAY,COLLISION WITH OTHER MOVABLE OBJECT,DARK - LIGHTED ROADWAY,UNKNOWN,UNKNOWN,TRAFFIC CONTROL SIGNAL,YES,UNKNOWN,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,,INTERSECTION,GARDEN,EASTBOUND,MASSACHUSETTS AVENUE,SOUTHBOUND,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,CYCLIST,HELMET,,MALE,,,,Y,,,,,,,,,,,,,,,,
3250,07/19/2015 10:34:00 PM,Sunday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,SOMERVILLE AVENUE,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - LIGHTED ROADWAY,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,FIVE-POINT OR MORE,,NO,NO,,INTERSECTION,MASSACHUSETTS AVENUE,NORTHBOUND,SOMERVILLE AVENUE,EASTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2011.0,COLLISION WITH PEDALCYCLE,HIGHLANDER,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,MALE,,,,Y
3465,05/04/2015 10:00:00 AM,Monday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1760A,MASS AVE,,LINNAEAN ST,"1760A MASS AVE
Cambridge, MA
(42.385346, -71.119404)",1.0,,"SIDESWIPE, SAME DIRECTION",,,DAYLIGHT,CLEAR,,,,DRY,NOT AT INTERSECTION,,NO,YES,,NON INTERSECTION,,,,,,,EASTBOUND,,EASTBOUND,,,,,,WORK ZONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,SLOWING OR STOPPED IN TRAFFIC,2014.0,,ROGUE,NISSAN,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT REAR,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,NO INJURY,,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,,,,FEMALE,,,,
3492,09/10/2016 05:15:00 PM,Saturday,PASSENGER CAR,,2259,MASSACHUSETTS AVENUE,,DOVER STREET,"2259 MASSACHUSETTS AVENUE
Cambridge, MA
(42.394356, -71.126756)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADSIDE,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,NON INTERSECTION,,,,,,,NORTHBOUND,100,NORTHBOUND,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,LEAVING TRAFFIC LANE,2010.0,COLLISION WITH PEDALCYCLE,535XI,BMW,3.0,,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,,,RIGHT SIDE,,,N,NORTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,VISIBILITY OBSTRUCTED,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,CYCLIST,"WALKING, RUNNING OR CYCLING",SHOULDER,HELMET,,FEMALE,,,,Y
3519,10/25/2016 05:29:00 PM,Tuesday,PASSENGER CAR,,831,MASSACHUSETTS AVE,,,"831 MASSACHUSETTS AVE
Cambridge, MA
(42.367142, -71.106571)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PARKED MOTOR VEHICLE,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,YES,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,30,NON INTERSECTION,,,,,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2016.0,COLLISION WITH PEDALCYCLE,FIT,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,EASTBOUND,,,,,,,,,,,INATTENTION,OTHER IMPROPER ACTION,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,DISTRICT OF COLUMBIA,,,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,
3630,05/25/2016 11:12:00 AM,Wednesday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,,PEABODY STREET,,1.0,,SINGLE VEHICLE CRASH,ROADSIDE,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,NO,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,NON INTERSECTION,,,,,,,NORTHBOUND,,EASTBOUND,50 FEET,SOUTHBOUND,JOHNSON GATE - HARVARD,,,NONE,,,PAN,VT,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,0.0,COLLISION WITH PEDALCYCLE,CAMRY,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCCUPANT/PASSENGER,NO INJURY,,,,,,,,,,FEMALE,FRONT SEAT - RIGHT SIDE,SHOULDER AND LAP BELT USED,NOT TRAPPED,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,HELMET,,FEMALE,,,,
3646,11/16/2016 09:42:00 AM,Wednesday,PASSENGER CAR,,,MASS AVE,VASSAR ST,,"MASS AVE
Cambridge, MA",1.0,,"SIDESWIPE, OPPOSITE DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,,TRAFFIC CONTROL SIGNAL,YES,WET,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,,INTERSECTION,MASS AVE,,VASSAR ST,,,,,,,,,,,,,,,PAN,MA,PASSENGER CAR,N,,,TURNING RIGHT,2014.0,COLLISION WITH PEDALCYCLE,CAMRY,TOY,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT REAR,,,N,EASTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,,,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,NEW JERSEY,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,FEMALE,,,,
3650,10/19/2015 11:26:00 AM,Monday,PASSENGER CAR,,,MASS AVE,BRATTLE STREET,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,TRAFFIC CONTROL SIGNAL,YES,DRY,Y-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,INTERSECTION,MASS AVE,WESTBOUND,BRATTLE STREET,WESTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2007.0,COLLISION WITH PEDALCYCLE,`SEDAN,AUDI,1.0,,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,,,NONE,,,N,WESTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,NO IMPROPER DRIVING,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NO INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,HELMET,,MALE,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y
